english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_comparison,gpt_error_tags,explanation,problem_description,gpt_comparison_comment,reviewer_suggestion,legacy_tags,context_5,context_10
Let's go.,Låt oss gå.,Nu går vi,Kom nu.,['DIR' 'BET'],LLM OK,[],Syftar till uppmaning om att tillsammans att komma iväg från en plats,"""Let's"" finns inte i svenskan och behöver omformuleras enligt vad man syftar till att man ska göra. Kan misstolkas då ""låt oss gå"" kan syfta till att man blir hållen mot sin vilja och vill bli släppt",Båda fungerar bra,,Semantisk,"['Anyway I will try to help you.'
 'Tonight I am leaving for Baunei, who knows...'
 'Is that the reason why you came to visit me?' 'Not really.'
 'Go on, I will follow you.']","['I was going to look for you before this evening.'
 'We decided to make a football field... maybe you can help me.'
 'Would you have anything that could be useful... to build the goal nets?'
 '- Nets?' ""- I really don't think so."" 'Anyway I will try to help you.'
 'Tonight I am leaving for Baunei, who knows...'
 'Is that the reason why you came to visit me?' 'Not really.'
 'Go on, I will follow you.']"
You've done nothing but hunt me down all this time.,Du har bara jagat mig hela tiden.,Du har inte gjort annat än att jaga mig all den här tiden,Du har inte gjort annat än jagat mig hela den här tiden.,['SAK' 'SEM'],LLM OK,[],Syftar till att någon inte gjort annat än att jaga en person,Mening som behöver formuleras om på grund av ord som inte bär samma semantiska innebörd på svenska,LLM tillför bra info,Du har inte gjort annat än att jaga mig all den här tiden,"Ordfölj, ordval, semantiskt","['(ELECTRICITY BUZZING)' 'BETTE:' 'Well, hello, George.'
 'I command you, in the name of the Lord...'
 'Save your prayers to your faith.']","['Peter.' '(DRAMATIC MUSIC PLAYING)' '(MUFFLED GHOSTLY VOICES)'
 '(DOOR CREAKS SHUT)' 'Martin.' '(ELECTRICITY BUZZING)' 'BETTE:'
 'Well, hello, George.' 'I command you, in the name of the Lord...'
 'Save your prayers to your faith.']"
And for what?,Och för vad?,Men varför?,Och för vad?,['DIR' 'SEM'],LLM WORSE,['DIR' 'SEM'],Syftar till att ifrågasätta anledningen till något,Frågande uttryck som inte finns i svenska och även saknar motsvarighet,LLM översätter ordagrant,,"Semantiskt, ordval","['You gave us your word.'
 ""I don't like it, Dunn... but that's what happened."" ""What'll I get?""
 ""If you're found guilty, probably 30 years."" 'Thirty years?']","[""State legislature repudiated the governor's signature and mine.""
 '- They what?' '- Canceled it out.'
 'Said we had no right to make an agreement with convicts.'
 'But Warden, you signed it.' 'You gave us your word.'
 ""I don't like it, Dunn... but that's what happened."" ""What'll I get?""
 ""If you're found guilty, probably 30 years."" 'Thirty years?']"
All you have to do is lower that lever and that child will be sent to the depths of hell.,Allt du behöver göra är att sänka spaken och barnet kommer att skickas till helvetets djup.,Det enda du behöver göra är att sänka ner spaken så skickar du ner  barnet till helvetets botten,Allt du behöver göra är att dra i den där spaken så skickas barnet ner i helvetets djup.,['PR'],LLM BETTER,[],Syftar till att dra i en spak. Syftar till att någon kommer skickas ner till de djupaste delarna av helvetet (idiomatiskt).,Lång mening med flera småfel men främst uttryck som behöver översättas till svensk motsvarighet,"LLM bättre. (O) - Håller med om LLM bättre. Föredrar ""dra"" i spaken över ""sänka ner"". Problematisk då engelska ordet ""lever"" har bredare innebörd än svenskans ""spak"". Lever kan förutom spak betyda exempelvis handtag eller hävstång. Utan mer kontext kan vid inte veta vilken typ av ""lever"" som åsyftas i den unrsprungliga meningen.",,"Ordfölj, ordval, idiomatiskt","[""I'm here to help you."" 'But first, you must repent.'
 'Renounce your God and invoke mine.' 'Invoke Ameth.'
 'Lord Jesus, give me the strength to resist.']","['I command you, in the name of the Lord...'
 'Save your prayers to your faith.'
 ""You've done nothing but hunt me down all this time."" 'And for what?'
 'You want to see, you want to understand.' ""I'm here to help you.""
 'But first, you must repent.' 'Renounce your God and invoke mine.'
 'Invoke Ameth.' 'Lord Jesus, give me the strength to resist.']"
You will understand the mysteries of life and death.,Du kommer att förstå mysterierna om liv och död.,Du kommer att förstå livets och dödens gåtor,Du kommer att förstå livets och dödens mysterier.,['DIR' 'PR'],LLM OK,[],Syftar till att någon kommer förstå det okända och mystiska med livet och döden (idiomatiskt) --> hemligheterna,Idiomatiskt uttryck som kräver svensk motsvarighet i översättning för att överföra betydelse,LLM översätter ordagrant,,"semantiskt, ordval","['All you have to do is lower that lever and that child will be sent to the depths of hell.'
 'His soul is already condemned.'
 'If you collaborate, you will have eternal damnation.'
 'You will be a wound to society.'
 'A dark angel who will see things no human being has ever seen.']","[""I'm here to help you."" 'But first, you must repent.'
 'Renounce your God and invoke mine.' 'Invoke Ameth.'
 'Lord Jesus, give me the strength to resist.'
 'All you have to do is lower that lever and that child will be sent to the depths of hell.'
 'His soul is already condemned.'
 'If you collaborate, you will have eternal damnation.'
 'You will be a wound to society.'
 'A dark angel who will see things no human being has ever seen.']"
"I command you, condemn you in the name of Jesus Christ, our Lord.","Jag befaller dig att fördöma dig i Jesu Kristi, vår Herres, namn.","Jag befaller dig, fördömer dig, i vår Herre Jesu Kristi namn.","Jag befaller dig, fördömer dig i vår Herre Jesu Kristi namn.",['LF' 'BET' 'PR'],LLM BETTER,[],Syftar till en befallning om fördomning i jesu namn,Religiös terminologi som behöver tillämpas korrekt samt grammatiska felaktigheter,(O) - AÖ saknar själva 'fördömelsen'. Tycker också om att LLM 'full name'-ar Jesus. Tycker det ger meningen mer tyngd. Tänker att om man vill fördöma någon så vill man göra det med så mycket emfas och gravitas som möjligt.,"Jag befaller dig, fördömer dig, i vår Herre Jesu Kristi namn.","Idiomatiskt, grammatiskt, ordval","['If you lower that lever, George, you will have the answers you search for.'
 '(DRAMATIC MUSIC PLAYING)' 'No!' 'Return to hell.' '(SCREAMING)']","['You will be a wound to society.'
 'A dark angel who will see things no human being has ever seen.'
 'You will understand the mysteries of life and death.'
 'What are you waiting for?' 'Lower that lever.'
 'If you lower that lever, George, you will have the answers you search for.'
 '(DRAMATIC MUSIC PLAYING)' 'No!' 'Return to hell.' '(SCREAMING)']"
Their powers are immense.,Deras krafter är enorma.,Deras krafter är ofantliga,Deras krafter är oerhörda.,['SEM'],LLM WORSE,['SEM'],"Syftar till att betona deras ofantliga krafter, oerhörda styrka","I kontexten om krafter och styrka är ""ofantliga"" mer passande",SÄMREordval av LLM,,Ordval,"['So beautiful.' 'Your son is still alive.' 'You must go in there'
 'Beyond the threshold to save him.' 'Be careful.']","['- George.' '- Peter.' 'Now I see it.' 'Now I understand.'
 ""It's beautiful."" 'So beautiful.' 'Your son is still alive.'
 'You must go in there' 'Beyond the threshold to save him.' 'Be careful.']"
It would be a sweet death.,Det skulle vara en söt död.,Det vore en ljuv död,Det skulle vara en ljuvlig död.,['ID' 'DIR' 'PR'],LLM WORSE,['ID' 'SEM'],Idiomatiskt. Syftar till en smärtlös död.,Frasen behöver översättas med en svensk motsvarighet till uttrycket,Ej semantisk hänsyn av LLM,,"Idiomatiskt, ordval","['PETER:' 'You must sacrifice him.' ""It's the only way to free him.""
 'Peter.' 'BETTE:']","['(TIRES SCREECHING)' '(SUSPENSEFUL MUSIC PLAYING)' '(DOOR SHUTS)'
 'ANNIE:' 'Peter!' 'PETER:' 'You must sacrifice him.'
 ""It's the only way to free him."" 'Peter.' 'BETTE:']"
"Martin, isn't it true what I said?","Martin, är det inte sant vad jag sa?","Eller hur, Martin? (Skulle kunna vara mer
passande beroende på kontext)","Martin, är det inte sant det jag sa?",['DIR' 'GR'],LLM WORSE,['DIR' 'GR'],Syftar till en fråga om bekräftelse gällande ett påstående,Den typen av formulering fungerar inte på svenska och behöver omformuelras,SÄMREordval av LLM,"Eller hur, Martin? (Skulle kunna vara mer
passande beroende på kontext)","Grammatiskt, ordval","['BETTE:' 'It would be a sweet death.' 'The child will not suffer.'
 'He wants to die.' 'BETTE:']","['Peter!' 'PETER:' 'You must sacrifice him.'
 ""It's the only way to free him."" 'Peter.' 'BETTE:'
 'It would be a sweet death.' 'The child will not suffer.'
 'He wants to die.' 'BETTE:']"
"As you belong to us, you are now a part of the kingdom.",Som ni tillhör oss är ni nu en del av riket.,"Då du tillhör oss, är du nu del av riket",Eftersom du tillhör oss är du nu en del av riket.,['LF' 'GR' 'BET'],LLM OK,[],Syftar till att betona att någon tillhör en och därmed är en del av riket,"För att behålla innebörden behöver ord bytas ut. Singular ""you""",LLM alternativ fungerar också,,"Grammatiskt, ordval, semantiskt","[""Martin, isn't it true what I said?"" ""Mom, don't be scared, I'm ready.""
 'Oh, God, Peter.' ""He can't hear you, Annie."" 'He is with us now.']","['BETTE:' 'It would be a sweet death.' 'The child will not suffer.'
 'He wants to die.' 'BETTE:' ""Martin, isn't it true what I said?""
 ""Mom, don't be scared, I'm ready."" 'Oh, God, Peter.'
 ""He can't hear you, Annie."" 'He is with us now.']"
